"Year","Estimated Value","Sale Price","num_rooms","num_bathrooms","carpet_area","property_tax_rate","Date","Locality","Property","Residential","Face"
2009,62650,101555,3,3,936,1.025953,2009-01-31,"Waterbury","?","Detached House","South"
2009,88480,220000,3,1,1057,1.025953,2009-01-31,"Waterbury","Single Family","Detached House","East"
2009,425180,565000,3,1,928,1.025953,2009-01-31,"Fairfield","?","Detached House","West"
2009,234290,60000,3,3,NA,1.025953,2009-01-31,"Norwalk","Single Family","Detached House","South"
2009,243740,340000,3,1,NA,1.025953,2009-01-31,"Fairfield","Single Family","Detached House","West"
2009,141820,235000,4,2,NA,1.025953,2009-02-01,NA,"?","Duplex","East"
2009,120470,280000,3,1,959,1.025953,2009-02-01,NA,"Single Family","Detached House","West"
2009,46200,124900,3,3,NA,10.25953,2009-02-01,NA,"Single Family","Detached House","North"
2009,67270,2e+05,4,4,1300,1.025953,2009-02-01,"Waterbury","Two Family","Duplex","South"
2009,NA,970000,3,2,1018,1.025953,2009-02-01,"Greenwich","Single Family","Detached House","North"
2009,85540,230000,3,3,1016,1.025953,2009-02-01,"Bridgeport","Single Family","Detached House","North"
2009,83161,190000,3,3,NA,1.025953,2009-02-01,"Bridgeport","Single Family","Detached House","South"
2009,717010,820000,3,2,958,1.025953,2009-02-01,"Fairfield","?","Detached House","North"
2009,628460,8e+05,3,3,1025,1.025953,2009-02-01,"Greenwich","Single Family","Detached House","East"
2009,95410,159000,3,1,947,1.025953,2009-02-02,NA,"Single Family","Detached House","East"
2009,651630,770000,3,2,1029,1.025953,2009-02-02,"Greenwich","Single Family","Detached House","East"
2009,324240,5e+05,4,2,1498,1.025953,2009-02-02,NA,"?","Duplex","South"
2009,133070,290000,3,3,1023,1.025953,2009-02-05,"Bridgeport","Single Family","Detached House","East"
2009,67200,184900,6,4,1821,1.025953,2009-02-05,"Waterbury","Three Family","Triplex","East"
2009,96250,215000,3,2,1095,1.025953,2009-02-05,"Waterbury","?","Detached House","West"
2009,1334270,490500,3,2,929,1.025953,2009-02-05,"Fairfield","?","Detached House","East"
2009,78680,175000,6,4,2062,1.025953,2009-02-05,"Waterbury","Three Family","Triplex","West"
2009,NA,770000,3,2,1071,1.025953,2009-02-05,"Greenwich","?","Detached House","South"
2009,NA,156000,4,3,1398,1.025953,2009-02-05,"Waterbury","Two Family","Duplex","East"
2009,174231,363000,8,6,NA,1.025953,2009-02-08,"Bridgeport","Four Family","Fourplex","South"
2009,457380,750000,3,3,995,1.025953,2009-02-08,"Fairfield","?","Detached House","South"
2009,162890,288000,3,3,NA,1.025953,2009-02-09,NA,"Single Family","Detached House","East"
2009,2828910,4450000,3,2,920,1.025953,2009-02-12,"Greenwich","Single Family","Detached House","East"
2009,206010,320000,3,1,913,1.025953,2009-02-12,"Norwalk","Single Family","Detached House","South"
2009,148121,248000,3,1,1043,1.025953,2009-02-13,"Bridgeport","?","Detached House","West"
2009,73220,299900,6,4,2142,1.025953,2009-02-15,"Bridgeport","Three Family","Triplex","West"
2009,NA,120500,3,3,NA,1.025953,2009-02-15,NA,"?","Detached House","West"
2009,1849120,3500000,3,2,928,1.025953,2009-02-15,"Greenwich","Single Family","Detached House","North"
2009,117601,230000,3,2,1016,1.025953,2009-02-15,"Bridgeport","Single Family",NA,"South"
2009,76580,156000,3,1,NA,1.025953,2009-02-16,"Waterbury","?","Detached House","East"
2009,70140,110000,3,2,NA,1.025953,2009-02-16,"Waterbury","Single Family","Detached House","South"
2009,110390,250000,3,1,904,1.025953,2009-02-16,"Bridgeport","Single Family","Detached House","West"
2009,168000,399900,6,4,1876,1.025953,2009-02-16,"Bridgeport","?","Triplex","South"
2009,77070,177000,3,1,975,1.025953,2009-02-16,"Waterbury","Single Family","Detached House","West"
2009,91770,214000,3,3,NA,1.025953,2009-02-16,"Bridgeport","Single Family","Detached House","North"
2009,61228,7000,3,1,1058,1.025953,2009-02-20,"Bridgeport","Single Family","Detached House","East"
2009,57820,135000,3,2,909,1.025953,2009-02-20,"Waterbury","Single Family","Detached House","North"
2009,63010,1e+05,3,2,NA,1.025953,2009-02-20,"Waterbury","?","Detached House","South"
2009,653450,1250000,3,2,932,1.025953,2009-02-21,"Greenwich","Single Family","Detached House","South"
NA,47050,96400,30,1,913,1.025953,2009-02-21,"Waterbury","Single Family","Detached House","West"
2009,2844800,5625000,3,2,1067,1.025953,2009-02-22,"Greenwich","?","Detached House","West"
2009,NA,1050000,3,2,947,1.025953,2009-02-22,"Greenwich","?","Detached House","North"
2009,56000,240000,3,2,959,1.025953,2009-02-22,"Bridgeport","Single Family","Detached House","South"
2009,91210,212300,6,6,1928,1.025953,2009-02-22,"Waterbury","?","Triplex","South"
2009,NA,7025000,3,3,NA,1.025953,2009-02-23,"Greenwich","?","Detached House","East"
2009,649530,1049000,3,2,1100,1.025953,2009-02-23,"Norwalk","?","Detached House","West"
2009,52510,121500,4,4,1487,1.025953,2009-02-23,"Waterbury","Two Family","Duplex","West"
2009,221060,3e+05,3,3,1009,1.025953,2009-02-26,"Fairfield","Single Family","Detached House","North"
20090,59010,230000,6,5,2041,1.025953,2009-02-27,"Waterbury","Three Family","Triplex","North"
NA,NA,190000,3,3,1073,1.025953,2009-02-27,"Fairfield","Single Family","Detached House","South"
2009,608720,826000,4,4,1365,1.025953,2009-02-28,"Greenwich","Two Family","Duplex","South"
2009,2656080,4755018,3,3,NA,1.025953,2009-02-28,"Greenwich","?","Detached House","West"
2009,1400910,1900000,3,2,960,1.025953,2009-03-01,"Greenwich","Single Family",NA,"West"
2009,264040,569900,3,1,1027,1.025953,2009-03-01,"Norwalk","Single Family","Detached House","West"
2009,2098950,3e+06,3,1,939,1.025953,2009-03-01,"Greenwich","Single Family","Detached House","West"
2009,55300,48521,3,1,1061,10.25953,2009-03-01,"Waterbury","Single Family","Detached House","North"
2009,828030,1425000,3,3,1024,1.025953,2009-03-01,"Fairfield","Single Family","Detached House","South"
2009,139300,285000,3,3,NA,1.025953,2009-03-02,NA,"Single Family","Detached House","South"
2009,146930,289000,3,3,1012,1.025953,2009-03-02,NA,"Single Family","Detached House","North"
2009,82810,191500,3,3,1097,1.025953,2009-03-02,NA,"?","Detached House","South"
2009,341040,550000,3,3,NA,1.025953,2009-03-02,NA,"Single Family","Detached House","West"
2009,96600,183000,4,3,1426,1.025953,2009-03-05,"Bridgeport","Two Family","Duplex","East"
2009,92120,223000,3,3,NA,1.025953,2009-03-05,"Waterbury","Single Family","Detached House","West"
2009,55510,130000,6,5,2003,1.025953,2009-03-05,"Waterbury","Three Family","Triplex","North"
2009,NA,448000,4,4,1261,1.025953,2009-03-06,"Norwalk","Two Family","Duplex","North"
2009,2072490,2084000,3,3,NA,1.025953,2009-03-06,"Fairfield","?","Detached House","East"
2009,369810,385000,3,3,NA,1.025953,2009-03-06,NA,"Single Family","Detached House","South"
2009,NA,370000,4,2,1490,1.025953,2009-03-07,"Norwalk","Two Family","Duplex","West"
2009,126070,271000,3,1,1052,1.025953,2009-03-07,"Bridgeport","Single Family","Detached House","West"
2009,85820,229000,6,6,NA,1.025953,2009-03-08,"Waterbury","Three Family","Triplex","West"
2009,120121,278100,3,1,1037,1.025953,2009-03-08,"Bridgeport","?","Detached House","East"
2009,1690010,1700000,3,2,1037,1.025953,2009-03-08,"Greenwich","?","Detached House","South"
2009,15050,102000,3,2,NA,1.025953,2009-03-12,"Waterbury","Single Family","Detached House","West"
2009,252980,691000,8,7,NA,1.025953,2009-03-12,NA,"?","Fourplex","West"
2009,NA,505000,3,1,NA,1.025953,2009-03-12,"Norwalk","Single Family","Detached House","South"
2009,113750,195000,6,6,2004,1.025953,2009-03-13,NA,"Three Family","Triplex","West"
2009,117110,267500,3,2,NA,1.025953,2009-03-13,"Bridgeport","Single Family","Detached House","South"
2009,747250,1160000,3,1,1024,1.025953,2009-03-13,"Fairfield","Single Family","Detached House","South"
2009,NA,589900,3,3,1017,1.025953,2009-03-14,"Norwalk","Single Family","Detached House","North"
2009,556780,850000,4,3,NA,1.025953,2009-03-14,"Greenwich","?","Duplex","West"
2009,4102560,7850000,3,2,964,1.025953,2009-03-14,"Fairfield","Single Family","Detached House","North"
2009,115360,233000,4,2,1454,1.025953,2009-03-14,"Bridgeport","Two Family","Duplex","North"
2009,46980,159000,4,4,NA,1.025953,2009-03-14,"Waterbury","Two Family","Duplex","East"
2009,NA,3e+06,3,3,1084,1.025953,2009-03-14,"Greenwich","Single Family","Detached House","East"
2009,1214570,2200000,3,1,NA,1.025953,2009-03-15,NA,"Single Family","Detached House","East"
2009,248788,490000,3,1,940,1.025953,2009-03-15,"Norwalk","Single Family","Detached House","West"
2009,166014,395000,6,4,NA,1.025953,2009-03-15,"Bridgeport","Three Family","Triplex","East"
2009,NA,149000,3,3,NA,1.025953,2009-03-16,"Waterbury","Single Family","Detached House","East"
2009,197400,340000,3,2,1025,1.025953,2009-03-19,"Norwalk","Single Family","Detached House","East"
2009,55860,148847,4,2,1339,1.025953,2009-03-19,"Waterbury","Two Family","Duplex","East"
2009,NA,147000,3,2,965,1.025953,2009-03-19,"Waterbury","Single Family","Detached House","East"
2009,358470,705000,3,3,NA,1.025953,2009-03-19,"Norwalk","?","Detached House","East"
2009,172270,285000,6,6,2117,1.025953,2009-03-19,"Bridgeport","?","Triplex","East"
2009,97800,260000,6,4,NA,1.025953,2009-03-19,"Waterbury","Three Family","Triplex","West"
2009,72310,157000,3,3,936,1.025953,2009-03-19,"Waterbury","Single Family","Detached House","West"
2009,NA,169900,3,2,NA,1.025953,2009-03-19,"Waterbury","Single Family","Detached House","West"
2009,3616200,525000,3,1,NA,1.025953,NA,"Fairfield","Single Family","Detached House","West"
2009,NA,67500,4,3,1436,1.025953,2009-03-20,"Bridgeport","Two Family","Duplex","North"
2009,513240,NA,3,2,1089,1.025953,2009-03-20,"Fairfield","Single Family","Detached House","North"
2009,163310,405000,4,2,1467,1.025953,2009-03-20,NA,"Two Family","Duplex","West"
2009,131670,2e+05,3,2,NA,1.025953,2009-03-20,"Bridgeport","Single Family","Detached House","East"
2009,126630,NA,3,1,1053,1.025953,2009-03-20,"Bridgeport","Single Family","Detached House","East"
2009,NA,345000,3,2,955,1.025953,2009-03-21,"Fairfield","Single Family","Detached House","West"
2009,248150,570000,3,2,1078,1.025953,2009-03-21,"Norwalk","Single Family","Detached House","West"
2009,355320,435000,3,3,1095,1.025953,2009-03-21,"Fairfield","Single Family","Detached House","West"
2009,88130,81250,3,1,1026,1.025953,2009-03-21,NA,"Single Family","Detached House","North"
2009,1285480,2150000,3,2,1021,1.025953,NA,"Greenwich","Single Family","Detached House","West"
2009,219100,427000,3,3,1021,1.025953,2009-03-22,"Norwalk","Single Family","Detached House","West"
2009,382900,777500,3,2,NA,1.025953,2009-03-23,"Norwalk","Single Family","Detached House","East"
2009,286090,520000,3,1,1058,1.025953,2009-03-27,"Norwalk","?","Detached House","East"
2009,385140,485000,3,1,NA,1.025953,2009-03-27,"Fairfield","Single Family","Detached House","East"
2009,377650,450000,3,3,1100,1.025953,2009-03-28,"Fairfield","?","Detached House","West"
2009,202670,403000,3,1,NA,1.025953,2009-03-28,"Norwalk","Single Family","Detached House","East"
2009,541030,750000,3,3,1079,1.025953,2009-03-28,"Fairfield","?","Detached House","North"
2009,109130,235000,3,3,NA,1.025953,2009-03-28,"Bridgeport","Single Family","Detached House","South"
2009,72380,249900,4,4,NA,1.025953,2009-03-29,"Bridgeport","Two Family","Duplex","South"
2009,262500,412000,3,3,NA,1.025953,2009-03-30,"Norwalk","Single Family","Detached House","South"
2009,8028860,8236500,NA,1,1055,1.025953,2009-03-30,"Greenwich","Single Family","Detached House","North"
2009,342930,820000,3,2,NA,1.025953,2009-03-30,"Fairfield","Single Family","Detached House","East"
2009,16660,15000,6,4,1978,1.025953,2009-03-30,"Waterbury","Three Family","Triplex","South"
2009,NA,5e+05,3,1,1048,1.025953,2009-03-30,"Greenwich","?","Detached House","West"
2009,155960,355000,6,5,2146,1.025953,2009-03-30,"Bridgeport","Three Family","Triplex","South"
2009,126420,177500,3,3,931,1.025953,2009-03-30,"Bridgeport","Single Family","Detached House","North"
2009,99260,295000,8,6,2983,1.025953,2009-03-30,"Waterbury","Four Family","Fourplex","North"
2009,2359840,3400000,3,3,1062,1.025953,2009-03-30,NA,"Single Family","Detached House","South"
2009,112910,299750,3,3,919,1.025953,2009-03-30,"Bridgeport","Single Family","Detached House","West"
2009,303170,490000,3,1,NA,NA,2009-04-02,"Fairfield","Single Family","Detached House","West"
2009,NA,195000,3,1,NA,1.025953,2009-04-02,"Bridgeport","Single Family","Detached House","South"
2009,62930,196000,6,5,1953,1.025953,2009-04-02,"Waterbury","Three Family","Triplex","South"
20090,224770,430000,3,2,1091,1.025953,2009-04-02,"Norwalk","Single Family","Detached House","East"
2009,53410,144000,4,3,NA,1.025953,2009-04-02,NA,"Two Family","Duplex","East"
2009,107100,250000,3,2,NA,1.025953,2009-04-02,"Waterbury","?","Detached House","South"
2009,104160,269900,4,4,1349,1.025953,2009-04-02,"Waterbury","?","Duplex","West"
2009,NA,1945000,3,1,986,1.025953,2009-04-02,"Norwalk","Single Family","Detached House","North"
2009,255710,462000,3,1,1022,1.025953,2009-04-03,"Norwalk","?","Detached House","West"
2009,125370,270000,3,1,982,1.025953,2009-04-03,"Bridgeport","Single Family","Detached House","West"
2009,226660,320000,3,2,1061,1.025953,2009-04-03,"Waterbury","Single Family","Detached House","East"
2009,135801,390000,6,5,2143,1.025953,2009-04-03,NA,"Three Family","Triplex","South"
2009,387170,515000,3,3,1093,1.025953,2009-04-03,"Fairfield","Single Family","Detached House","West"
2009,218330,407500,3,1,NA,1.025953,2009-04-03,"Norwalk","Single Family","Detached House","North"
2009,101430,329000,6,6,NA,1.025953,2009-04-04,"Waterbury","Three Family","Triplex","North"
2009,245210,445000,3,3,980,1.025953,2009-04-05,"Bridgeport","Single Family","Detached House","East"
2009,42420,52000,4,2,1372,1.025953,2009-04-05,"Bridgeport","Two Family","Duplex","South"
2009,1597610,3150000,3,1,947,1.025953,2009-04-05,"Greenwich","Single Family","Detached House","West"
2009,129010,270000,3,2,991,1.025953,2009-04-05,"Waterbury","Single Family","Detached House","West"
2009,812630,1695000,3,1,923,1.025953,2009-04-05,"Norwalk","Single Family","Detached House","South"
2009,251790,425000,3,2,NA,1.025953,2009-04-05,"Norwalk","Single Family","Detached House","West"
20090,4705820,6750000,3,3,986,1.025953,2009-04-05,"Greenwich","Single Family","Detached House","North"
2009,NA,163000,3,1,997,1.025953,2009-04-09,"Waterbury","Single Family","Detached House","East"
2009,118440,285000,3,1,973,1.025953,2009-04-09,"Bridgeport","Single Family","Detached House","East"
2009,5630730,7e+06,3,2,999,1.025953,2009-04-09,"Greenwich","Single Family","Detached House","North"
2009,176750,257000,6,4,1804,1.025953,2009-04-09,"Bridgeport","Three Family","Triplex","East"
2009,77280,239900,4,3,1322,1.025953,2009-04-09,NA,"Two Family","Duplex","North"
2009,343980,410000,3,1,991,1.025953,2009-04-10,"Fairfield","Single Family","Detached House","West"
2009,207760,375000,3,2,NA,1.025953,2009-04-10,"Norwalk","Single Family","Detached House","South"
2009,1120350,1575000,3,3,NA,1.025953,2009-04-11,"Greenwich","Single Family","Detached House","South"
2009,113680,185000,3,3,972,1.025953,2009-04-11,"Bridgeport","Single Family","Detached House","East"
2009,634200,860000,3,3,1083,1.025953,2009-04-11,"Greenwich","Single Family","Detached House","North"
2009,11830,206000,3,1,913,1.025953,2009-04-12,"Bridgeport","Single Family","Detached House","East"
2009,116060,125185,3,2,1024,1.025953,2009-04-12,"Bridgeport","Single Family","Detached House","South"
2009,NA,407500,3,2,981,1.025953,2009-04-13,"Fairfield","Single Family","Detached House","North"
2009,66780,245000,6,5,1806,1.025953,2009-04-13,"Waterbury","Three Family","Triplex","West"
2009,NA,108000,3,3,1012,1.025953,2009-04-13,"Waterbury","Single Family","Detached House","North"
2009,292530,402000,3,1,NA,1.025953,2009-04-13,"Norwalk","Single Family","Detached House","West"
2009,1336580,1675000,3,3,NA,1.025953,2009-04-13,"Norwalk","Single Family","Detached House","South"
2009,371210,605000,3,2,NA,1.025953,2009-04-13,"Norwalk","Single Family","Detached House","West"
2009,60620,164000,3,1,1098,1.025953,2009-04-13,NA,"?","Detached House","East"
2009,NA,243750,4,2,1241,1.025953,2009-04-16,"Bridgeport","Two Family","Duplex","North"
2009,2624790,2899000,3,3,1044,1.025953,2009-04-17,"Greenwich","Single Family","Detached House","East"
2009,443940,515000,3,1,1018,1.025953,2009-04-17,"Greenwich","?","Detached House","South"
2009,521150,670000,3,1,996,1.025953,2009-04-17,"Fairfield","Single Family","Detached House","North"
2009,71680,164000,3,1,1054,1.025953,2009-04-18,"Bridgeport","Single Family","Detached House","South"
2009,869680,1387500,3,1,NA,1.025953,2009-04-18,"Fairfield","Single Family","Detached House","East"
2009,59710,235000,6,5,1993,1.025953,2009-04-18,"Waterbury","?","Triplex","East"
2009,75810,193400,4,4,NA,1.025953,2009-04-19,NA,"Two Family","Duplex","West"
2009,134330,1500000,3,1,NA,1.025953,2009-04-19,"Greenwich","Single Family","Detached House","South"
2009,184800,130000,3,3,909,1.025953,2009-04-20,"Bridgeport","Single Family","Detached House","North"
2009,1749930,3140000,3,2,NA,1.025953,2009-04-20,"Greenwich","Single Family","Detached House","North"
2009,37170,84900,3,3,1033,1.025953,2009-04-20,"Waterbury","Single Family","Detached House","East"
2009,113890,225000,4,3,NA,1.025953,2009-04-23,"Bridgeport","Two Family","Duplex","North"
2009,NA,215000,3,3,NA,1.025953,2009-04-23,"Bridgeport","Single Family","Detached House","South"
2009,2179380,2650000,3,2,1094,1.025953,2009-04-23,"Greenwich","Single Family","Detached House","North"
2009,1291710,1750000,3,3,NA,1.025953,2009-04-23,"Fairfield","?","Detached House","North"
2009,641690,1200000,3,3,NA,1.025953,2009-04-23,"Greenwich","Single Family","Detached House","East"
2009,376880,710000,3,2,926,1.025953,2009-04-23,"Fairfield","Single Family","Detached House","South"
2009,389900,389900,3,1,1023,1.025953,2009-04-24,"Fairfield","Single Family","Detached House","East"
2009,340883,702500,3,2,945,1.025953,2009-04-24,"Norwalk","Single Family","Detached House","South"
2009,248360,455000,3,1,NA,1.025953,2009-04-24,"Norwalk","Single Family","Detached House","North"
2009,NA,205000,3,3,930,1.025953,2009-04-24,"Waterbury","?","Detached House","East"
2009,176890,320000,3,3,NA,1.025953,2009-04-25,"Bridgeport","Single Family","Detached House","South"
2009,397390,560000,3,3,NA,1.025953,2009-04-25,NA,"?","Detached House","West"
2009,62580,159900,3,3,1041,1.025953,2009-04-25,"Waterbury","Single Family","Detached House","East"
2009,433440,805000,3,3,NA,1.025953,2009-04-25,"Fairfield","Single Family","Detached House","North"
2009,60831,140000,3,3,NA,1.025953,2009-04-25,"Bridgeport","Single Family","Detached House","North"
2009,NA,3e+05,3,3,1056,1.025953,2009-04-25,NA,"Single Family","Detached House","West"
2009,699790,1265000,3,3,NA,1.025953,2009-04-25,"Greenwich","?","Detached House","West"
2009,70210,160000,3,3,1008,1.025953,2009-04-26,NA,"Single Family","Detached House","West"
2009,104090,254000,3,2,1010,1.025953,2009-04-27,"Waterbury","Single Family","Detached House","South"
2009,96390,175000,3,2,985,1.025953,2009-04-27,"Bridgeport","?","Detached House","East"
2009,NA,580000,3,3,965,1.025953,2009-04-27,"Greenwich","Single Family","Detached House","East"
2009,183330,316000,3,3,961,1.025953,2009-04-27,"Bridgeport","Single Family","Detached House","West"
2009,437500,579000,3,1,NA,1.025953,2009-04-27,"Fairfield","Single Family","Detached House","East"
2009,297780,570000,3,2,NA,1.025953,2009-04-30,"Norwalk","Single Family","Detached House","West"
2009,NA,260000,4,4,1249,1.025953,2009-04-30,"Bridgeport","Two Family","Duplex","South"
2009,1150590,2e+06,3,3,NA,1.025953,2009-04-30,"Fairfield","Single Family","Detached House","West"
2009,NA,185000,3,1,1008,1.025953,2009-04-30,"Waterbury","Single Family","Detached House","East"
2009,1313340,3200000,3,3,1012,1.025953,2009-04-30,"Greenwich","Single Family","Detached House","South"
2009,412650,399000,3,2,1055,1.025953,2009-04-30,"Fairfield","Single Family","Detached House",NA
2009,304850,560000,3,3,1018,1.025953,2009-04-30,"Norwalk","Single Family","Detached House","East"
2009,104230,243000,3,2,1074,1.025953,2009-04-30,"Waterbury","Single Family","Detached House","West"
2009,NA,465000,3,3,NA,1.025953,2009-04-30,"Fairfield","?","Detached House","South"
2009,3500,195900,3,2,988,1.025953,2009-05-01,"Waterbury","Single Family","Detached House","West"
2009,427420,610000,3,3,955,1.025953,2009-05-01,NA,"Single Family","Detached House","East"
2009,NA,625000,3,2,NA,1.025953,2009-05-01,"Fairfield","Single Family","Detached House","West"
2009,489580,715000,3,2,NA,1.025953,2009-05-01,"Fairfield","Single Family","Detached House","North"
2009,57470,143400,3,3,996,1.025953,2009-05-01,"Waterbury","?","Detached House","North"
